"dataset","cluster_index","omitted_cluster","status","elapsed_sec","error"
"observed",1,"308","complete",8.04026508331299,
"observed",2,"309","complete",10.5725650787354,
"observed",3,"310","complete",9.79585194587708,
"observed",4,"330","complete",8.60240507125854,
"observed",5,"331","complete",9.61152005195618,
"observed",6,"332","complete",9.50606799125671,
"observed",7,"333","complete",9.58177208900452,
"observed",8,"334","complete",9.52516007423401,
"observed",9,"335","complete",9.57626795768738,
"observed",10,"337","complete",10.3327419757843,
"observed",11,"349","complete",9.68189597129822,
"observed",12,"350","complete",13.656553030014,
"observed",13,"351","complete",9.66174387931824,
"observed",14,"352","complete",9.53562116622925,
"observed",15,"369","complete",9.8054940700531,
"observed",16,"370","complete",9.83267498016357,
"observed",17,"371","complete",10.5115809440613,
"observed",18,"372","complete",9.78584885597229,
